"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LRFN5",2.41413971476783e-26,-0.757722798929878,0.695,0.901,6.27579760251046e-22
"ANO5",3.63966426617321e-26,-0.691700164933463,0.308,0.661,9.46167122634388e-22
"CHN1",3.87816910717205e-26,-0.667908243262418,0.587,0.848,1.00816884110045e-21
"MIPOL1",4.47767643868041e-26,-0.716059508570902,0.383,0.732,1.16401676699936e-21
"CELF5",5.56693340433147e-26,0.837939388547507,0.889,0.805,1.44718000779001e-21
"FGF14",9.07994161067325e-26,-0.580531796639211,0.946,0.99,2.36042162111062e-21
"ZC3H13",1.46007908069535e-25,-0.854463298289486,0.566,0.862,3.79562157817563e-21
"KCNH7",1.58197859114678e-25,-0.979509927952833,0.683,0.86,4.11251154554517e-21
"KIF26B",1.91094234385448e-25,1.23602018553613,0.566,0.261,4.9676857170841e-21
"CDK14",2.56900045922297e-25,-0.713958664123538,0.734,0.907,6.67837359379604e-21
"PKD1",2.88977283368919e-25,0.893753636604536,0.808,0.714,7.51225345845842e-21
"DLGAP2",3.65629697233146e-25,0.620328940752501,0.985,0.988,9.50490960927285e-21
"SESN3",4.08008101207678e-25,-0.659838544442664,0.296,0.646,1.06065785989948e-20
"PPM1L",5.49883277359021e-25,-0.6838712249063,0.575,0.86,1.42947656782251e-20
"LRRC7",1.37086942121625e-24,-0.586273317299615,0.886,0.979,3.56371214739376e-20
"GRM3",1.48308163676299e-24,-0.986756572096747,0.347,0.675,3.85541902292908e-20
"MAPK8IP3",2.07432598769704e-24,0.969988835931967,0.793,0.685,5.39241783761722e-20
"SLC8A1",2.30755866632586e-24,-0.872261363023176,0.71,0.893,5.99872950898071e-20
"CLVS2",2.60205262173835e-24,-0.59906759179172,0.332,0.673,6.76429599547101e-20
"SERPINI1",2.70751436359799e-24,-0.602042945713724,0.518,0.811,7.03845433960932e-20
"TMEM232",5.36037617706886e-24,-0.775124503621636,0.521,0.823,1.39348339099082e-19
"NCAM2",5.73222953501171e-24,-1.01521395048625,0.722,0.879,1.49015038992164e-19
"MT-ND4",8.89281295706174e-24,-0.778490128194437,0.778,0.979,2.31177565631777e-19
"LRP1B",1.04080700492416e-23,-1.06407002454576,0.913,0.959,2.70568189000085e-19
"MT-ND3",1.05278390771998e-23,-0.859559857050128,0.743,0.959,2.73681704650886e-19
"SATB2",1.20733296166278e-23,-0.772857672991242,0.47,0.759,3.13858276713857e-19
"LSAMP",1.30412928232697e-23,-0.696872660900259,0.937,0.992,3.39021448233718e-19
"AC020911.2",1.47914342486553e-23,1.09705396248596,0.461,0.181,3.84518124728043e-19
"DPH6-DT",1.62073384200632e-23,-0.848684521119019,0.18,0.5,4.21325969567964e-19
"STXBP5-AS1",1.93016372531487e-23,-1.03529316036884,0.371,0.661,5.01765362032853e-19
"CDH10",2.02914600712158e-23,-0.868252868848812,0.452,0.757,5.27496796011326e-19
"ABR",2.04706547951789e-23,0.956959832963185,0.865,0.794,5.3215514205547e-19
"MEG8",2.14177034706986e-23,0.907370700507016,0.82,0.681,5.56774619424281e-19
"SLC8B1",2.62009061495414e-23,0.896647432658445,0.515,0.237,6.81118756263477e-19
"AMZ1",2.99089528392933e-23,0.746081036819907,0.404,0.128,7.77513138010269e-19
"MT-CO2",3.26146433265817e-23,-0.866266429716634,0.826,0.984,8.47850267917818e-19
"CTNNA2",3.35689312381506e-23,-1.05524457593699,0.871,0.967,8.72657936466963e-19
"GRM1",4.56187031520512e-23,-0.967924623288667,0.299,0.609,1.18590380714072e-18
"TMEFF2",5.28661558781418e-23,-0.910808902365089,0.611,0.839,1.37430858820818e-18
"SPTBN4",7.33974535586947e-23,0.726607404668847,0.919,0.862,1.90804020271183e-18
"SNRNP70",8.96218783191215e-23,0.797660696130212,0.737,0.58,2.32981034878388e-18
"HMGCLL1",1.19867916971862e-22,-0.656340668578747,0.311,0.634,3.11608636960052e-18
"MTRNR2L8",1.43761042664049e-22,-2.11953142313925,0.174,0.498,3.73721206509461e-18
"LMO3",1.74042464746199e-22,-0.80709058227232,0.341,0.654,4.52440791354218e-18
"ADGRL3",2.34991079950508e-22,-0.518975496684905,0.934,0.975,6.1088281143934e-18
"CSMD2",2.83778921461091e-22,0.805149680730089,0.883,0.79,7.37711684230253e-18
"GRIA2",5.93296621974024e-22,-0.463684621890359,0.916,0.979,1.54233389848367e-17
"MROH1",9.80141347567327e-22,0.887291491062775,0.784,0.679,2.54797544713602e-17
"ZNF365",9.89149138548374e-22,-0.868081558330475,0.362,0.64,2.57139210057035e-17
"LINC00970",1.04060425466291e-21,-0.566612671713784,0.165,0.488,2.70515482042171e-17
"PRKACB",1.12322631196795e-21,-0.598013284361987,0.659,0.881,2.91993912059187e-17
"C2CD5",1.20362609162203e-21,-0.550865060426504,0.632,0.866,3.12894638778063e-17
"AC104041.1",2.82738915159981e-21,0.776238570266712,0.293,0.064,7.35008083849886e-17
"PDE1A",3.19256038322656e-21,-0.984336313453471,0.503,0.765,8.29937997223577e-17
"TAPT1-AS1",4.07860885359848e-21,-0.665722530675943,0.422,0.716,1.06027515758146e-16
"MT-CO3",4.38764751620824e-21,-0.831754342401271,0.847,0.988,1.14061284831349e-16
"MEF2C-AS1",5.91925124338391e-21,-0.715812137236639,0.626,0.848,1.53876855323008e-16
"KIAA0825",8.904755603475e-21,-0.627190175812655,0.551,0.807,2.31488026667936e-16
"NR2F1-AS1",9.92386247107294e-21,-0.820553508002472,0.452,0.741,2.57980728798012e-16
"HECW1",1.39795169039584e-20,-0.556300128925274,0.85,0.965,3.63411521435302e-16
"AC092691.1",1.51541170329458e-20,-0.834213798244055,0.644,0.856,3.93946426388459e-16
"PFKFB3",1.59637041176891e-20,1.01592437487677,0.707,0.558,4.14992452243446e-16
"ASPH",1.63178698596699e-20,-0.531710891070334,0.383,0.696,4.24199344871978e-16
"ANK2",2.33885165539397e-20,-0.426600643343774,0.958,0.996,6.08007876336217e-16
"KIAA0513",2.60598865377374e-20,0.867014538618359,0.677,0.5,6.77452810435022e-16
"MAP1LC3A",4.55438291130471e-20,0.763709844845292,0.464,0.208,1.18395738162277e-15
"RIMS2",6.22644191081063e-20,-0.474885006589777,0.958,0.992,1.61862583913433e-15
"MTX2",6.48352496884509e-20,-0.533726848649436,0.368,0.679,1.68545715090097e-15
"STAMBPL1",6.62762887838659e-20,-0.562208961158439,0.311,0.619,1.72291840322538e-15
"MT-ND5",9.76147964145927e-20,-0.851769974015277,0.569,0.897,2.53759424759375e-15
"IMMP2L",1.09514033575755e-19,-0.619605070427381,0.674,0.893,2.84692681683532e-15
"AP001347.1",1.18881892584717e-19,-0.752650234386168,0.29,0.601,3.09045367963231e-15
"PPFIA2",1.33497266335514e-19,-0.544085653416372,0.919,0.988,3.47039493565803e-15
"PPP6R2",1.61646470636622e-19,0.728024250676492,0.793,0.718,4.20216165066963e-15
"RIMBP2",2.03989207649083e-19,0.756582411381419,0.853,0.755,5.30290344204557e-15
